customer_id,KMeansCluster
29930,1
6813,3
39451,1
21557,4
16415,5
22853,0
994,0
28952,3
11845,3
25774,2
11303,1
24143,4
29221,0
37216,2
35596,1
13243,3
19854,3
22743,2
11783,1
17858,3
39157,3
6849,1
28504,5
7243,1
1818,0
20841,4
27141,1
31744,4
6247,5
4864,1
33104,4
22380,3
732,1
37565,5
22169,1
21785,3
2327,3
1026,4
15291,5
12996,3
22279,4
20588,4
36763,1
7209,1
7272,0
32875,0
26267,1
10438,1
21417,3
29181,4
386,5
39780,5
22009,3
10247,3
26516,3
26744,5
37593,1
25965,4
2196,1
12775,3
5452,4
14798,5
27848,2
1843,3
16063,2
7897,0
14927,2
6448,1
23752,1
23441,3
35665,0
1810,1
14849,2
2728,1
296,5
34009,5
35994,1
24587,1
34269,3
13150,5
254,0
25752,1
38721,1
38092,3
13583,0
34266,1
30802,1
37533,3
3129,3
7597,2
37570,5
17486,5
20612,1
23799,1
28915,2
7349,3
37849,0
30861,3
15061,1
28653,3
27865,5
1654,3
33916,3
13147,3
9297,3
5705,1
21609,3
37091,5
2098,3
35931,0
35591,2
23259,2
1034,0
2316,0
25405,1
21567,2
32458,4
29757,5
16931,2
24612,5
3703,3
24976,0
23280,0
33686,4
18825,0
37869,3
31802,1
12295,2
19774,0
9032,3
2675,1
2021,0
39263,5
4624,2
37056,5
17083,4
13735,3
35999,3
14218,3
11278,4
13720,4
22895,2
10996,0
37137,3
3259,3
32390,1
22044,1
30067,0
21789,1
3252,2
20057,4
27605,3
24499,5
3580,3
4067,0
24726,3
21035,2
23900,0
38965,3
34247,2
9459,3
28668,5
15367,1
26055,0
27204,4
22483,0
15991,3
2605,5
36586,3
29670,2
37857,3
24392,3
31953,1
18809,3
17178,3
7117,2
8685,1
8532,4
8832,5
36529,1
27389,1
11592,1
19458,3
30456,2
17953,2
2527,3
2741,2
37625,3
22619,4
14189,5
25389,1
39820,4
11614,3
15549,4
13993,5
17057,1
39770,0
18875,5
28966,2
34370,3
5822,0
3454,3
508,0
25442,3
10500,3
33566,2
11416,1
10873,2
26747,3
6349,5
13848,0
482,1
36828,3
33356,3
25805,4
19117,1
39410,0
2212,5
36761,1
32882,1
32599,1
20272,4
25401,3
18638,1
1119,1
34299,5
18622,3
16720,1
1604,3
28671,0
19420,2
12840,5
30480,3
10171,1
38918,2
11460,3
38371,4
19532,5
17447,1
27977,0
18,3
37007,3
7289,0
32154,5
34084,1
19624,3
17144,2
18354,0
15411,3
34379,3
17759,3
10841,0
11151,4
2870,2
12888,2
38511,3
12201,1
37273,0
18824,2
14166,3
33778,3
14395,5
28015,1
19960,1
21929,3
21439,0
4164,1
30679,5
19247,2
12518,5
5082,1
10458,2
34621,4
32547,1
26781,0
23006,3
11496,1
30006,0
23251,3
25553,1
8293,5
97,4
33290,1
20372,0
31617,0
39577,3
12811,1
30522,1
14962,3
8864,3
1932,4
36564,5
13975,0
27867,2
21894,0
26193,5
20564,3
32050,4
3907,1
16084,3
18379,3
4814,3
23484,5
3431,2
18806,3
15794,3
8199,1
17203,1
26400,5
12897,1
31443,3
1738,5
20725,5
15522,4
33443,0
21924,4
33359,2
28256,1
4395,1
9394,4
23989,2
4099,3
17594,4
14850,0
32933,3
6845,2
13585,4
37239,4
15187,1
1454,0
31712,0
38438,3
24564,4
26811,4
1859,5
22997,0
10156,3
3244,1
2462,1
32301,1
32295,3
30924,0
22627,2
28850,2
23493,3
38889,5
240,3
33923,3
7249,0
9978,3
39629,3
32620,3
27561,3
7205,2
26101,4
28944,0
34250,4
34452,2
20081,4
12514,2
23200,3
4793,0
29715,5
31687,3
23899,1
18980,1
27666,3
12747,1
37495,3
10138,4
18583,0
38388,3
16889,3
34164,1
8303,5
28913,4
21153,4
29253,0
14662,5
4267,0
1085,3
21556,3
6616,3
35639,5
2176,3
35448,3
7600,3
20645,0
22055,3
22999,0
16996,5
21322,0
19076,2
15709,2
10195,3
18562,3
450,3
9906,3
39993,5
11122,4
13668,0
30083,5
31246,4
2962,2
10550,0
12895,2
2921,1
31921,0
13180,5
12804,2
19501,5
16302,3
39636,0
38105,1
11038,5
12095,5
6844,0
39275,5
11941,5
31819,4
30864,2
31426,3
9985,1
37358,0
5470,5
2983,2
5594,1
33890,1
37938,3
11295,3
33172,0
20328,1
40,1
39188,5
7137,1
31733,1
19528,0
1381,5
2882,0
34795,2
24950,2
24083,2
3722,2
32526,5
28484,0
17499,3
30636,1
7728,5
23020,4
15742,5
22901,0
9586,5
37986,5
30808,3
12605,0
17193,3
18191,3
28450,2
31811,3
2909,5
13075,2
15152,0
7458,1
34708,4
26281,3
26814,0
1308,3
29518,2
2,0
4394,3
32946,0
23380,3
34162,5
18276,5
13247,3
3003,2
13097,2
19571,5
927,5
15897,3
29692,1
6611,3
15851,5
28453,1
15247,1
17819,3
36677,5
20418,5
6733,3
35019,3
5520,1
6899,3
32479,3
6668,4
33046,4
27606,0
24879,5
10544,1
31411,3
23991,5
28298,5
7923,0
33507,4
15119,1
8496,4
34930,2
5081,3
2109,0
23279,2
